# Average slewing corrections obtained with run 12995.
# Channels 411 410 591 590 561 560 399 398 behave differently and have been fitted separately with CHANTITimeSlewing
#-----------------------------------------------------------------------------------
#SeqID 	p0       	p1			p2	     
#-----------------------------------------------------------------------------------
241    -0.03482	   13.68      0.4442
242    -0.04189    8.21      1.8425
243    -0.03482	   13.68      0.4442
244    -0.04189    8.21      1.8425
245    -0.03482	   13.68      0.4442
246    -0.04189    8.21      1.8425
247    -0.03482	   13.68      0.4442
248    -0.04189    8.21      1.8425
249    -0.03482	   13.68      0.4442
250    -0.04189    8.21      1.8425
251    -0.03482	   13.68      0.4442
252    -0.04189    8.21      1.8425
253    -0.03482	   13.68      0.4442
254    -0.04189    8.21      1.8425
255    -0.03482	   13.68      0.4442
256    0    0      0
257    0    0      0
258    0    0      0
259    0    0      0
260    0    0      0
261    0    0      0
262    0    0      0
263    0    0      0
264    0    0      0
265    0    0      0
266    0    0      0
267    0    0      0
268    0    0      0
269    0    0      0
270    0    0      0
271    0    0      0
272    0    0      0
273    0    0      0
274    0    0      0
275    0    0      0
276    0    0      0
277    0    0      0
278    0    0      0
279    0    0      0
280    0    0      0
281    0    0      0
282    0    0      0
283    0    0      0
284    0    0      0
285    0    0      0
286    0    0      0
287    0    0      0
288    0    0      0
289    0    0      0
290    0    0      0
291    0    0      0
292    0    0      0
293    0    0      0
294    0    0      0
295    0    0      0
296    0    0      0
297    0    0      0
298    0    0      0
299    0    0      0
300    0    0      0
301    0    0      0
302    0    0      0
303    0    0      0
304    0    0      0
305    0    0      0
306    0    0      0
307    0    0      0
308    0    0      0
309    0    0      0
310    0    0      0
311    0    0      0
312    0    0      0
313    0    0      0
314    0    0      0
315    0    0      0
316    0    0      0
317    0    0      0
318    0    0      0
319    0    0      0
320    -0.04189    8.21      1.8425
321    -0.03482	   13.68      0.4442
322    -0.04189    8.21      1.8425
323    -0.03482	   13.68      0.4442
324    -0.04189    8.21      1.8425
325    -0.03482	   13.68      0.4442
326    -0.04189    8.21      1.8425
327    -0.03482	   13.68      0.4442
328    -0.04189    8.21      1.8425
329    -0.03482	   13.68      0.4442
330    -0.04189    8.21      1.8425
331    -0.03482	   13.68      0.4442
332    -0.04189    8.21      1.8425
333    -0.03482	   13.68      0.4442
334    -0.04189    8.21      1.8425
335    -0.03482	   13.68      0.4442
336    -0.04189    8.21      1.8425
337    -0.03482	   13.68      0.4442
338    -0.04189    8.21      1.8425
339    -0.03482	   13.68      0.4442
340    -0.04189    8.21      1.8425
341    -0.03482	   13.68      0.4442
342    -0.04189    8.21      1.8425
343    -0.03482	   13.68      0.4442
344    -0.04189    8.21      1.8425
345    -0.03482	   13.68      0.4442
346    -0.04189    8.21      1.8425
347    -0.03482	   13.68      0.4442
348    -0.04189    8.21      1.8425
349    -0.03482	   13.68      0.4442
350    -0.04189    8.21      1.8425
351    -0.03482	   13.68      0.4442
352    -0.04189    8.21      1.8425
353    -0.03482	   13.68      0.4442
354    -0.04189    8.21      1.8425
355    -0.03482	   13.68      0.4442
356    -0.04189    8.21      1.8425
357    -0.03482	   13.68      0.4442
358    -0.04189    8.21      1.8425
359    -0.03482	   13.68      0.4442
360    -0.04189    8.21      1.8425
361    -0.03482	   13.68      0.4442
362    -0.04189    8.21      1.8425
363    -0.03482	   13.68      0.4442
364    -0.04189    8.21      1.8425
365    -0.03482	   13.68      0.4442
366    -0.04189    8.21      1.8425
367    -0.03482	   13.68      0.4442
368    -0.04189    8.21      1.8425
369    -0.03482	   13.68      0.4442
370    -0.04189    8.21      1.8425
371    -0.03482	   13.68      0.4442
372    -0.04189    8.21      1.8425
373    -0.03482	   13.68      0.4442
374    -0.04189    8.21      1.8425
375    -0.03482	   13.68      0.4442
376    -0.04189    8.21      1.8425
377    -0.03482	   13.68      0.4442
378    -0.04189    8.21      1.8425
379    -0.03482	   13.68      0.4442
380    -0.04189    8.21      1.8425
381    -0.03482	   13.68      0.4442
382    -0.04189    8.21      1.8425
383    -0.03482	   13.68      0.4442
384    -0.04189    8.21      1.8425
385    -0.03482	   13.68      0.4442
386    -0.04189    8.21      1.8425
387    -0.03482	   13.68      0.4442
388    -0.04189    8.21      1.8425
389    -0.03482	   13.68      0.4442
390    -0.04189    8.21      1.8425
391    -0.03482	   13.68      0.4442
392    -0.04189    8.21      1.8425
393    -0.03482	   13.68      0.4442
394    -0.04189    8.21      1.8425
395    -0.03482	   13.68      0.4442
396    -0.04189    8.21      1.8425
397    -0.03482	   13.68      0.4442
398    -0.0354634    19.7977      1.53581
399    -0.0472618    108.874      0.591956
400    -0.04189    8.21      1.8425
401    -0.03482	   13.68      0.4442
402    -0.04189    8.21      1.8425
403    -0.03482	   13.68      0.4442
404    -0.04189    8.21      1.8425
405    -0.03482	   13.68      0.4442
406    -0.04189    8.21      1.8425
407    -0.03482	   13.68      0.4442
408    -0.04189    8.21      1.8425
409    -0.03482	   13.68      0.4442
410    -0.0343935    22.142      1.9306
411    -0.0449009    149.094      0.677065
412    -0.04189    8.21      1.8425
413    -0.03482	   13.68      0.4442
414    -0.04189    8.21      1.8425
415    -0.03482	   13.68      0.4442
416    -0.04189    8.21      1.8425
417    -0.03482	   13.68      0.4442
418    -0.04189    8.21      1.8425
419    -0.03482	   13.68      0.4442
420    -0.04189    8.21      1.8425
421    -0.03482	   13.68      0.4442
422    -0.04189    8.21      1.8425
423    -0.03482	   13.68      0.4442
424    -0.04189    8.21      1.8425
425    -0.03482	   13.68      0.4442
426    -0.04189    8.21      1.8425
427    -0.03482	   13.68      0.4442
428    -0.04189    8.21      1.8425
429    -0.03482	   13.68      0.4442
430    -0.04189    8.21      1.8425
431    -0.03482	   13.68      0.4442
432    -0.04189    8.21      1.8425
433    -0.03482	   13.68      0.4442
434    -0.04189    8.21      1.8425
435    -0.03482	   13.68      0.4442
436    -0.04189    8.21      1.8425
437    -0.03482	   13.68      0.4442
438    -0.04189    8.21      1.8425
439    -0.03482	   13.68      0.4442
440    -0.04189    8.21      1.8425
441    -0.03482	   13.68      0.4442
442    -0.04189    8.21      1.8425
443    -0.03482	   13.68      0.4442
444    -0.04189    8.21      1.8425
445    -0.03482	   13.68      0.4442
446    -0.04189    8.21      1.8425
447    -0.03482	   13.68      0.4442
448    -0.04189    8.21      1.8425
449    -0.03482	   13.68      0.4442
450    -0.04189    8.21      1.8425
451    -0.03482	   13.68      0.4442
452    -0.04189    8.21      1.8425
453    -0.03482	   13.68      0.4442
454    -0.04189    8.21      1.8425
455    -0.03482	   13.68      0.4442
456    -0.04189    8.21      1.8425
457    -0.03482	   13.68      0.4442
458    -0.04189    8.21      1.8425
459    -0.03482	   13.68      0.4442
460    -0.04189    8.21      1.8425
461    -0.03482	   13.68      0.4442
462    -0.04189    8.21      1.8425
463    -0.03482	   13.68      0.4442
464    -0.04189    8.21      1.8425
465    -0.03482	   13.68      0.4442
466    -0.04189    8.21      1.8425
467    -0.03482	   13.68      0.4442
