REFSHAPE   500  1999     2    2015_03_08
*---  Made with calib-7 ( run 1587, 2015_02_23)
*---  This is the best calib run for the 2014 data
****
   12  112  127    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
   13    0   15    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
   13   16   31    4   4   4   4   4   4   4   4   4   4   6   3  10   6   7   7
   13   32   47    6  10  10   8  10   9   3  10   9   5  10  11   5  10   8   6
   13   48   63   11   3   7   5  11  10  10   7   4   5   5   5   1   3   5   4
   13   64   79   11   4  12   5  10   5  10   5   6   5   4   5   4   6   4   3
   13   80   95   10  10   6   8   7   3   8  11   2   4   4   4   6   5   4   4
   13   96  111    8   4  10   8  11  10   4   4   4   4   4   4   4   4   4   4
   13  112  127    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
   14    0   15    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
   14   16   31    4   4   4   4   4   4   4   4   5   6   4   5   6   3   5   3
   14   32   47   10  11  10  11   8   7   9  12   3  10   4   3   7   4   4   5
   14   48   63    4   5   4   5   3   3   4   7   1   4   3   4   4   3   3   4
   14   64   79    2   5   3   3   4   3   4   1  10  10  10   8  10   7   6   9
   14   80   95    3   3   5   4   8   4   4   3   9  10   2  10  10  10   7   9
   14   96  111    9   9  10   2   6   7   7  11   4   4   4   4   4   4   4   4
   14  112  127    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
   15    0   15    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
   15   16   31    4   4   4   4   4   4   4   4  10   7   8   9  10   9  10   7
   15   32   47    9  12   2  12   8   2  11   8  10   1  12   2  10   6  12   9
   15   48   63    5  11   8  10  11   3   9  10   1   9   3   4   5   4   6   4
   15   64   79    6   5   6   7   3   2   7   3  10  10   3  12  10   9  10  10
   15   80   95    7   9   4   5   8   8  10   4  11  12  12   8   4   4   8   6
   15   96  111   10  10  10  11   9   9  10  10   4   4   4   4   4   4   4   4
   15  112  127    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
   16    0   15    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
   16   16   31    4   4   4   4   4   4   1   1   1   5   2   4   5   5   4   3
   16   32   47    3   5   3   6   4   5   3   4   3   5   3   4   5   3   7   5
   16   48   63    4   5   5   2   5   2   7   4   9  12   7   6  10   8   7  12
   16   64   79    8  10   2  10  11   1   9  12   4  11   1   6  11   9   8   8
   16   80   95    5   4   5   6   6   5   5   3  10  11   2   9   9   6   8   9
   16   96  111    9  10  10   9  12  11   8  10  12   4   4   4   4   4   4   4
   16  112  127    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
   17    0   15    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
   17   16   31    4   4   4   4   4   5   4   3  11   3   6   4   4   6   3   7
   17   32   47    4   3   7   4   5   3   5   4   6   5   5   4   6   5   5   3
   17   48   63    4   8  10   3   5  10   1  11   7   1  12   4  10   3   6   4
   17   64   79    4  11   8   2  10   7   5   1   1  10   7  10  12   8   8   4
   17   80   95   10  10   7   2  10   8   9  11  11   2   7   7  11   5   9   7
   17   96  111   10   6   4  10   3   8  12   4   4   4   7   4   4   4   4   4
   17  112  127    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
   18    0   15    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
   18   16   31    4   4   4   4   7   3   8   7   3   5   4   3   7   3   8   6
   18   32   47   11  11  10   3   9  10   2   7  10   7  11  10   7  12   2  10
   18   48   63   12   6   6   5   7   8  12   4   3   4   1  11  10   2   7   6
   18   64   79    3   7  10   9  10  12   2   9   1   5   5   4   2   4   4   3
   18   80   95    5   4   8   4  10   8  10   7   3   4   7   5   5   2   1   2
   18   96  111    9  10   2  11  10   2   8   5   3   3   7   7   4   4   4   4
   18  112  127    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
   19    0   15    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
   19   16   31    4   4   4   6  10  10  12   2  10   9  11  10   9  10   8   5
   19   32   47    1  10   8   4  10   6   1  10  12   3  10  11   9  11   7   2
   19   48   63   11   4   7  10   6   3  10  10   5   3  12   5  11   3   4  10
   19   64   79   10   5  11  11   9   9   5  11   3   4   6   4   5   4   4   3
   19   80   95    4   9   1  12   7  10   3   4  10  10   9   8   3  12   6   7
   19   96  111    9   8  10   3  10   3  10   2  10  10   4   4   8   4   4   4
   19  112  127    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
   20    0   15    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
   20   16   31    4   4   3   5   4   5   3   7   4   5   4   5   2   6   4   4
   20   32   47    3   5   1   1   3   4   5   4   6   6   6   7   5   9   3   4
   20   48   63    6   5   8   5   6   4   5   3  10  10  10   7   2  11  10   8
   20   64   79    4   9   4  10   4   6   4  11   5  10  10  10   6  11  11   9
   20   80   95    4   6   2   4   5   4   4   6   4   2  12   6   3   3   2  11
   20   96  111   10   5  10   8  12   1  10  11   1   2   4   1   5   6   4   4
   20  112  127    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
   21    0   15    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
   21   16   31    4   2   6   3   6   4   4   2   6   4   3   5   3   3   4   2
