CHAPEDES  7000  7999     1    2017_11_18
   80    4    0   397.39    2.06
   81    4    0   398.63    2.07
   82    4    0   396.79    2.70
   83    4    0   399.87    2.69
   84    4    0   400.05    2.15
   85    4    0   400.03    2.40
   86    4    0   402.94    2.92
   87    4    0   397.29    1.99
   88    4    0   397.71    2.21
   89    4    0   398.36    2.25
   90    4    0   399.86    2.57
   91    4    0   397.38    2.12
   92    4    0   405.75    2.12
   93    4    0   400.09    2.26
   94    4   99     0.00    0.00
   95    4   99     0.00    0.00
   96    4   99     0.00    0.00
   97    4   99     0.00    0.00
   98    4   99     0.00    0.00
   99    4   99     0.00    0.00
  100    4   99     0.00    0.00
  101    4   99     0.00    0.00
  102    4   99     0.00    0.00
  103    4   99     0.00    0.00
  104    4   99     0.00    0.00
  105    4   99     0.00    0.00
  106    4   99     0.00    0.00
  107    4   99     0.00    0.00
  108    4   99     0.00    0.00
  109    4   99     0.00    0.00
  110    4   99     0.00    0.00
  111    4   99     0.00    0.00
  112    4   99     0.00    0.00
  113    4   99     0.00    0.00
  114    4   99     0.00    0.00
  115    4   99     0.00    0.00
  116    4   99     0.00    0.00
  117    4   99     0.00    0.00
  118    4   99     0.00    0.00
  119    4   99     0.00    0.00
  120    4   99     0.00    0.00
  121    4   99     0.00    0.00
  122    4   99     0.00    0.00
  123    4   99     0.00    0.00
  124    4   99     0.00    0.00
  125    4   99     0.00    0.00
  126    4   99     0.00    0.00
  127    4   99     0.00    0.00
    0    5   99     0.00    0.00
    1    5   99     0.00    0.00
    2    5   99     0.00    0.00
    3    5   99     0.00    0.00
    4    5   99     0.00    0.00
    5    5   99     0.00    0.00
    6    5   99     0.00    0.00
    7    5   99     0.00    0.00
    8    5   99     0.00    0.00
    9    5   99     0.00    0.00
   10    5   99     0.00    0.00
   11    5   99     0.00    0.00
   12    5   99     0.00    0.00
   13    5   99     0.00    0.00
   14    5   99     0.00    0.00
   15    5   99     0.00    0.00
   16    5   99     0.00    0.00
   17    5   99     0.00    0.00
   18    5   99     0.00    0.00
   19    5   99     0.00    0.00
   20    5   99     0.00    0.00
   21    5   99     0.00    0.00
   22    5   99     0.00    0.00
   23    5   99     0.00    0.00
   24    5   99     0.00    0.00
   25    5   99     0.00    0.00
   26    5   99     0.00    0.00
   27    5   99     0.00    0.00
   28    5   99     0.00    0.00
   29    5   99     0.00    0.00
   30    5   99     0.00    0.00
   31    5   99     0.00    0.00
   32    5   99     0.00    0.00
   33    5    0   401.58    2.28
   34    5    0   402.84    2.17
   35    5    0   398.61    2.06
   36    5    0   399.87    2.12
   37    5    0   402.48    2.04
   38    5    0   402.29    2.12
   39    5    0   404.01    2.25
   40    5    0   401.93    2.10
   41    5    0   400.92    2.19
   42    5    0   398.75    2.13
   43    5    0   401.63    2.11
   44    5    0   398.82    2.13
   45    5    0   400.20    1.90
   46    5    0   398.56    2.12
   47    5    0   400.58    2.15
   48    5    0   401.42    2.13
   49    5    0   400.05    2.16
   50    5    0   402.11    2.33
   51    5    0   396.83    2.22
   52    5    0   400.63    2.14
   53    5    0   403.58    2.16
   54    5    0   414.96    2.28
   55    5    0   423.25    1.91
   56    5    0   400.86    2.15
   57    5    0   398.67    2.16
   58    5    0   401.71    2.18
   59    5    0   403.06    2.09
   60    5    0   401.81    2.17
   61    5    0   399.73    1.99
   62    5    0   399.98    2.07
   63    5    0   405.27    2.06
   64    5    0   395.21    2.07
   65    5    0   401.85    2.09
   66    5    0   399.24    2.08
   67    5    0   400.42    2.09
   68    5    0   401.47    2.08
   69    5    0   399.19    2.26
   70    5    0   399.54    2.04
   71    5    0   390.14    2.14
   72    5    0   398.60    2.11
   73    5    0   405.74    2.16
   74    5    0   398.84    2.39
   75    5    0   399.37    2.46
   76    5    0   401.37    2.22
   77    5    0   399.44    2.65
   78    5    0   400.05    2.46
   79    5    0   399.58    2.07
   80    5    0   404.69    2.40
   81    5    0   401.44    2.15
   82    5    0   401.14    2.63
