DIGFCONS   500  12     3    2015_03_08
*---  Made with calib-7 ( run 1587, 2015_02_23)
*---  This is the best calib run for the 2014 data
****  The third parameter on the first line (12) is the number of shapes
    3    1       0.319     0.495     0.384   -27.261     2.677    22.781
    3    2       0.339     0.493     0.366   -27.318     3.550    23.015
    3    3       0.359     0.491     0.349   -27.390     4.425    23.274
    3    4       0.379     0.487     0.332   -27.479     5.304    23.557
    3    5       0.400     0.483     0.314   -27.585     6.190    23.865
    3    6       0.421     0.477     0.296   -27.709     7.087    24.198
    3    7       0.443     0.471     0.278   -27.850     7.996    24.555
    3    8       0.464     0.464     0.259   -28.011     8.922    24.937
    3    9       0.487     0.456     0.239   -28.190     9.867    25.342
    3   10       0.510     0.447     0.220   -28.388    10.833    25.772
    3   11       0.533     0.437     0.199   -28.605    11.824    26.225
    3   12       0.558     0.426     0.178   -28.841    12.843    26.701
    3   13       0.583     0.414     0.157   -29.095    13.891    27.200
    3   14       0.608     0.400     0.135   -29.368    14.971    27.721
    3   15       0.635     0.385     0.112   -29.660    16.086    28.265
    3   16       0.662     0.369     0.088   -29.969    17.239    28.832
    3   17       0.690     0.351     0.063   -30.297    18.431    29.420
    3   18       0.719     0.331     0.038   -30.642    19.665    30.031
    3   19       0.749     0.310     0.012   -31.004    20.943    30.665
    3   20       0.779     0.287    -0.015   -31.384    22.267    31.321
    3   21       0.811     0.262    -0.044   -31.780    23.641    32.001
    3   22       0.844     0.235    -0.073   -32.193    25.065    32.706
    3   23       0.878     0.206    -0.103   -32.622    26.543    33.437
    3   24       0.914     0.174    -0.135   -33.068    28.076    34.195
    3   25       0.950     0.140    -0.167   -33.529    29.667    34.981
    4  -25      -0.219     0.164     0.919   -26.351   -24.862    20.871
    4  -24      -0.196     0.196     0.893   -26.433   -23.635    21.025
    4  -23      -0.174     0.226     0.867   -26.528   -22.414    21.160
    4  -22      -0.151     0.254     0.842   -26.632   -21.199    21.277
    4  -21      -0.129     0.280     0.817   -26.741   -19.991    21.377
    4  -20      -0.108     0.304     0.793   -26.849   -18.790    21.461
    4  -19      -0.086     0.327     0.770   -26.954   -17.598    21.530
    4  -18      -0.064     0.348     0.746   -27.052   -16.417    21.585
    4  -17      -0.043     0.367     0.724   -27.140   -15.248    21.629
    4  -16      -0.022     0.384     0.701   -27.218   -14.093    21.663
    4  -15      -0.001     0.400     0.679   -27.283   -12.954    21.689
    4  -14       0.020     0.415     0.658   -27.336   -11.832    21.711
