# Average slewing corrections obtained with run 12995.
# Channels 456 458 688 689 860 862 896 898 behave differently and have been fitted separately with CHANTITimeSlewing
#-----------------------------------------------------------------------------------
#SeqID 	p0       	p1			p2	     
#-----------------------------------------------------------------------------------
531     0    0      0
532     -0.03482	   13.68      0.4442
533     0    0      0
534     -0.04189    8.21      1.8425
535     0    0      0
536     -0.03482	   13.68      0.4442
537     0    0      0
538     -0.04189    8.21      1.8425
539     0    0      0
540     -0.03482	   13.68      0.4442
541     0    0      0
542     -0.04189    8.21      1.8425
543     0    0      0
544     -0.03482	   13.68      0.4442
545     -0.04189    8.21      1.8425
546     -0.03482	   13.68      0.4442
547     -0.04189    8.21      1.8425
548     -0.03482	   13.68      0.4442
549     -0.04189    8.21      1.8425
550     -0.03482	   13.68      0.4442
551     -0.04189    8.21      1.8425
552     -0.03482	   13.68      0.4442
553     -0.04189    8.21      1.8425
554     -0.03482	   13.68      0.4442
555     -0.04189    8.21      1.8425
556     -0.03482	   13.68      0.4442
557     -0.04189    8.21      1.8425
558     -0.03482	   13.68      0.4442
559     -0.04189    8.21      1.8425
560     -0.03482	   13.68      0.4442
561     -0.04189    8.21      1.8425
562     -0.03482	   13.68      0.4442
563     -0.04189    8.21      1.8425
564     -0.03482	   13.68      0.4442
565     -0.04189    8.21      1.8425
566     -0.03482	   13.68      0.4442
567     -0.04189    8.21      1.8425
568     -0.03482	   13.68      0.4442
569     -0.04189    8.21      1.8425
570     -0.03482	   13.68      0.4442
571     -0.04189    8.21      1.8425
572     -0.03482	   13.68      0.4442
573     -0.04189    8.21      1.8425
574     -0.03482	   13.68      0.4442
575     -0.04189    8.21      1.8425
576     0    0      0
577     0    0      0
578     0    0      0
579     0    0      0
580     0    0      0
581     0    0      0
582     0    0      0
583     0    0      0
584     0    0      0
585     0    0      0
586     0    0      0
587     0    0      0
588     0    0      0
589     0    0      0
590     0    0      0
591     0    0      0
592     0    0      0
593     0    0      0
594     0    0      0
595     0    0      0
596     0    0      0
597     0    0      0
598     0    0      0
599     0    0      0
600     0    0      0
601     0    0      0
602     0    0      0
603     0    0      0
604     0    0      0
605     0    0      0
606     0    0      0
607     0    0      0
608     0    0      0
609     0    0      0
610     0    0      0
611     0    0      0
612     0    0      0
613     0    0      0
614     0    0      0
615     0    0      0
616     0    0      0
617     0    0      0
618     0    0      0
619     0    0      0
620     0    0      0
621     0    0      0
622     0    0      0
623     0    0      0
624     0    0      0
625     0    0      0
626     0    0      0
627     0    0      0
628     0    0      0
629     0    0      0
630     0    0      0
631     0    0      0
632     0    0      0
633     0    0      0
634     0    0      0
635     0    0      0
636     0    0      0
637     0    0      0
638     0    0      0
639     0    0      0
640     -0.03482	   13.68      0.4442
641     0    0      0
642     -0.04189    8.21      1.8425
643     0    0      0
644     -0.03482	   13.68      0.4442
645     0    0      0
646     -0.04189    8.21      1.8425
647     0    0      0
648     -0.03482	   13.68      0.4442
649     0    0      0
650     -0.04189    8.21      1.8425
651     0    0      0
652     -0.03482	   13.68      0.4442
653     0    0      0
654     -0.04189    8.21      1.8425
655     0    0      0
656     -0.03482	   13.68      0.4442
657     0    0      0
658     -0.04189    8.21      1.8425
659     0    0      0
660     -0.03482	   13.68      0.4442
661     0    0      0
662     -0.04189    8.21      1.8425
663     0    0      0
664     -0.03482	   13.68      0.4442
665     0    0      0
666     -0.04189    8.21      1.8425
667     0    0      0
668     -0.03482	   13.68      0.4442
669     0    0      0
670     -0.04189    8.21      1.8425
671     0    0      0
672     -0.03482	   13.68      0.4442
673     -0.04189    8.21      1.8425
674     -0.03482	   13.68      0.4442
675     -0.04189    8.21      1.8425
676     -0.03482	   13.68      0.4442
677     -0.04189    8.21      1.8425
678     -0.03482	   13.68      0.4442
679     -0.04189    8.21      1.8425
680     -0.03482	   13.68      0.4442
681     -0.04189    8.21      1.8425
682     -0.03482	   13.68      0.4442
683     -0.04189    8.21      1.8425
684     -0.03482	   13.68      0.4442
685     -0.04189    8.21      1.8425
686     -0.03482	   13.68      0.4442
687     -0.04189    8.21      1.8425
688	    -0.0479073    40.7651      0.640469
689     -0.0430951    7.91309      2.10678
690     -0.03482	   13.68      0.4442
691     -0.04189    8.21      1.8425
692     -0.03482	   13.68      0.4442
693     -0.04189    8.21      1.8425
694     -0.03482	   13.68      0.4442
695     -0.04189    8.21      1.8425
696     -0.03482	   13.68      0.4442
697     -0.04189    8.21      1.8425
698     -0.03482	   13.68      0.4442
699     -0.04189    8.21      1.8425
700     -0.03482	   13.68      0.4442
701     -0.04189    8.21      1.8425
