# Slewing corrections obtained with run 4740
#-----------------------------------------------------------------------------------
#SeqID 	p0       	p1			p2	     
#-----------------------------------------------------------------------------------
344    -8.52e-2	   22.2      1.091 
345    -8.284e-2    12.92      2.071	
346    -8.52e-2	   22.2      1.091
347    -8.284e-2    12.92      2.071
348    -8.52e-2	   22.2      1.091
349    -8.284e-2    12.92      2.071
350    -8.52e-2	   22.2      1.091
351    -8.284e-2    12.92      2.071
352    -8.52e-2	   22.2      1.091 
353    -8.284e-2    12.92      2.071	
354    -8.52e-2	   22.2      1.091
355    -8.284e-2    12.92      2.071
356    -8.52e-2	   22.2      1.091
357    -8.284e-2    12.92      2.071
358    -8.52e-2	   22.2      1.091
359    -8.284e-2    12.92      2.071
360    -8.52e-2	   22.2      1.091 
361    -8.284e-2    12.92      2.071	
362    -8.52e-2	   22.2      1.091
363    -8.284e-2    12.92      2.071
364    -8.52e-2	   22.2      1.091
365    -8.284e-2    12.92      2.071
366    -8.52e-2	   22.2      1.091
367    -8.284e-2    12.92      2.071
368    -8.52e-2	   22.2      1.091 
369    -8.284e-2    12.92      2.071	
370    -8.52e-2	   22.2      1.091
371    -8.284e-2    12.92      2.071
372    -8.52e-2	   22.2      1.091
373    -8.284e-2    12.92      2.071
374    -8.52e-2	   22.2      1.091
375    -8.284e-2    12.92      2.071
376    -8.52e-2	   22.2      1.091 
377    -8.284e-2    12.92      2.071	
378    -8.52e-2	   22.2      1.091
379    -8.284e-2    12.92      2.071
380    -8.52e-2	   22.2      1.091
381    -8.284e-2    12.92      2.071
382    -8.52e-2	   22.2      1.091
383    -8.284e-2    12.92      2.071
384    -8.52e-2	   22.2      1.091  
385    -8.284e-2    12.92      2.071	
386    -8.52e-2	   22.2      1.091
387    -8.284e-2    12.92      2.071
388    -8.52e-2	   22.2      1.091
389    -8.284e-2    12.92      2.071
390    -8.52e-2	   22.2      1.091
391    -8.284e-2    12.92      2.071
392    -8.52e-2	   22.2      1.091 
393    -8.284e-2    12.92      2.071	
394    -8.52e-2	   22.2      1.091
395    -8.284e-2    12.92      2.071
396    -8.52e-2	   22.2      1.091
397    -8.284e-2    12.92      2.071
398    -8.52e-2	   22.2      1.091
399    -8.284e-2    12.92      2.071
400    -8.52e-2	   22.2      1.091  
401    -8.284e-2    12.92      2.071	
402    -8.52e-2	   22.2      1.091
403    -8.284e-2    12.92      2.071
404    -8.52e-2	   22.2      1.091
405    -8.284e-2    12.92      2.071
406    -8.52e-2	   22.2      1.091
407    -8.284e-2    12.92      2.071
408    -8.52e-2	   22.2      1.091 
409    -8.284e-2    12.92      2.071	
410    -8.52e-2	   22.2      1.091
411    -8.284e-2    12.92      2.071
412    -8.52e-2	   22.2      1.091
413    -8.284e-2    12.92      2.071
414    -8.52e-2	   22.2      1.091
415    -8.284e-2    12.92      2.071
416    -8.52e-2	   22.2      1.091  
417    -8.284e-2    12.92      2.071	
418    -8.52e-2	   22.2      1.091
419    -8.284e-2    12.92      2.071
420    -8.52e-2	   22.2      1.091
421    -8.284e-2    12.92      2.071
422    -8.52e-2	   22.2      1.091
423    -8.284e-2    12.92      2.071
424    -8.52e-2	   22.2      1.091 
425    -8.284e-2    12.92      2.071	
426    -8.52e-2	   22.2      1.091
427    -8.284e-2    12.92      2.071
428    -8.52e-2	   22.2      1.091
429    -8.284e-2    12.92      2.071
430    -8.52e-2	   22.2      1.091
431    -8.284e-2    12.92      2.071
432    -8.52e-2	   22.2      1.091  
433    -8.284e-2    12.92      2.071	
434    -8.52e-2	   22.2      1.091
435    -8.284e-2    12.92      2.071
436    -8.52e-2	   22.2      1.091
437    -8.284e-2    12.92      2.071
438    -8.52e-2	   22.2      1.091
439    -8.284e-2    12.92      2.071
440    -8.52e-2	   22.2      1.091 
441    -8.284e-2    12.92      2.071	
442    -8.52e-2	   22.2      1.091
443    -8.284e-2    12.92      2.071
444    -8.52e-2	   22.2      1.091
445    -8.284e-2    12.92      2.071
446    -8.52e-2	   22.2      1.091
447    -8.284e-2    12.92      2.071
448    -8.52e-2	   22.2      1.091 
449    -8.284e-2    12.92      2.071	
450    -8.52e-2	   22.2      1.091
451    -8.284e-2    12.92      2.071
452    -8.52e-2	   22.2      1.091
453    -8.284e-2    12.92      2.071
454    -8.52e-2	   22.2      1.091
455    -8.284e-2    12.92      2.071
456    -8.52e-2	   22.2      1.091 
457    -8.284e-2    12.92      2.071	
458    -8.52e-2	   22.2      1.091
459    -8.284e-2    12.92      2.071
460    -8.52e-2	   22.2      1.091
461    -8.284e-2    12.92      2.071
462    -8.52e-2	   22.2      1.091
463    -8.284e-2    12.92      2.071
464    -8.52e-2	   22.2      1.091 
465    -8.284e-2    12.92      2.071	
466    -8.52e-2	   22.2      1.091
467    -8.284e-2    12.92      2.071
468    -8.52e-2	   22.2      1.091
469    -8.284e-2    12.92      2.071
470    -8.52e-2	   22.2      1.091
471    -8.284e-2    12.92      2.071
472    -8.52e-2	   22.2      1.091 
473    -8.284e-2    12.92      2.071	
474    -8.52e-2	   22.2      1.091
475    -8.284e-2    12.92      2.071
476    -8.52e-2	   22.2      1.091
477    -8.284e-2    12.92      2.071
478    -8.52e-2	   22.2      1.091
479    -8.284e-2    12.92      2.071
480    -8.52e-2	   22.2      1.091 
481    -8.284e-2    12.92      2.071	
482    -8.52e-2	   22.2      1.091
483    -8.284e-2    12.92      2.071
484    -8.52e-2	   22.2      1.091
485    -8.284e-2    12.92      2.071
486    -8.52e-2	   22.2      1.091
487    -8.284e-2    12.92      2.071
488    -8.52e-2	   22.2      1.091 
489    -8.284e-2    12.92      2.071	
490    -8.52e-2	   22.2      1.091
491    -8.284e-2    12.92      2.071
492    -8.52e-2	   22.2      1.091
493    -8.284e-2    12.92      2.071
494    -8.52e-2	   22.2      1.091
495    -8.284e-2    12.92      2.071
496    -8.52e-2	   22.2      1.091 
