# NChannels including PMT+SC
NChannels= 18684 
# Number of SuperCells
NSCChannels= 2076
######################### RICH Reconstruction PMs indexed positions #######################
#PMPosition: NPMs (starting from 0, grouped by 8, x y couples)
# the position is relative to the relevant flange centre
PMPosition_SC_47 = 156.0 27.0 156.0 33.0 150.0 21.0 150.0 27.0 150.0 33.0 144.0 21.0 144.0 27.0 144.0 33.0
PMPosition_SC_48 = 138.0 21.0 138.0 27.0 138.0 33.0 132.0 21.0 132.0 27.0 132.0 33.0 126.0 21.0 126.0 27.0
PMPosition_SC_49 = 126.0 33.0 120.0 21.0 120.0 27.0 120.0 33.0 114.0 21.0 114.0 27.0 114.0 33.0 108.0 21.0
PMPosition_SC_50 = 108.0 27.0 108.0 33.0 102.0 21.0 102.0 27.0 102.0 33.0 96.0 21.0 96.0 27.0 96.0 33.0
PMPosition_SC_51 = 90.0 21.0 90.0 27.0 90.0 33.0 84.0 21.0 84.0 27.0 84.0 33.0 78.0 21.0 78.0 27.0
PMPosition_SC_52 = 78.0 33.0 72.0 21.0 72.0 27.0 72.0 33.0 66.0 21.0 66.0 27.0 66.0 33.0 60.0 21.0
PMPosition_SC_53 = 60.0 27.0 60.0 33.0 54.0 21.0 54.0 27.0 54.0 33.0 48.0 21.0 48.0 27.0 48.0 33.0
PMPosition_SC_54 = 42.0 21.0 42.0 27.0 42.0 33.0 36.0 21.0 36.0 27.0 36.0 33.0 30.0 21.0 30.0 27.0
PMPosition_SC_55 = 30.0 33.0 24.0 21.0 24.0 27.0 24.0 33.0 18.0 21.0 18.0 27.0 18.0 33.0 12.0 21.0
PMPosition_SC_56 = 12.0 27.0 12.0 33.0 6.0 21.0 6.0 27.0 6.0 33.0 0.0 21.0 0.0 27.0 0.0 33.0
PMPosition_SC_57 = -6.0 21.0 -6.0 27.0 -6.0 33.0 -12.0 21.0 -12.0 27.0 -12.0 33.0 -18.0 21.0 -18.0 27.0
PMPosition_SC_58 = -18.0 33.0 -24.0 21.0 -24.0 27.0 -24.0 33.0 -30.0 21.0 -30.0 27.0 -30.0 33.0 -36.0 21.0
PMPosition_SC_59 = -36.0 27.0 -36.0 33.0 -42.0 21.0 -42.0 27.0 -42.0 33.0 -48.0 21.0 -48.0 27.0 -48.0 33.0
PMPosition_SC_60 = -54.0 21.0 -54.0 27.0 -54.0 33.0 -60.0 21.0 -60.0 27.0 -60.0 33.0 -66.0 21.0 -66.0 27.0
PMPosition_SC_61 = -66.0 33.0 -72.0 21.0 -72.0 27.0 -72.0 33.0 -78.0 21.0 -78.0 27.0 -78.0 33.0 -84.0 21.0
PMPosition_SC_62 = -84.0 27.0 -84.0 33.0 -90.0 21.0 -90.0 27.0 -90.0 33.0 -96.0 21.0 -96.0 27.0 -96.0 33.0
PMPosition_SC_63 = -102.0 21.0 -102.0 27.0 -102.0 33.0 -108.0 21.0 -108.0 27.0 -108.0 33.0 -114.0 21.0 -114.0 27.0
PMPosition_SC_64 = -114.0 33.0 -120.0 21.0 -120.0 27.0 -120.0 33.0 -126.0 21.0 -126.0 27.0 -126.0 33.0 -132.0 21.0
PMPosition_SC_65 = -132.0 27.0 -132.0 33.0 -138.0 21.0 -138.0 27.0 -138.0 33.0 -144.0 21.0 -144.0 27.0 -144.0 33.0
PMPosition_SC_66 = -150.0 21.0 -150.0 27.0 -150.0 33.0 -156.0 21.0 -156.0 27.0 -156.0 33.0 -162.0 21.0 -162.0 27.0
PMPosition_SC_67 = -162.0 33.0 -168.0 21.0 -168.0 27.0 -168.0 33.0 -174.0 21.0 -174.0 27.0 -174.0 33.0 -180.0 21.0
PMPosition_SC_68 = -180.0 27.0 -180.0 33.0 -186.0 21.0 -186.0 27.0 -186.0 33.0 -192.0 21.0 -192.0 27.0 -192.0 33.0
PMPosition_SC_69 = -198.0 21.0 -198.0 27.0 -198.0 33.0 -204.0 21.0 -204.0 27.0 -204.0 33.0 -210.0 21.0 -210.0 27.0
PMPosition_SC_70 = -210.0 33.0 -216.0 21.0 -216.0 27.0 -216.0 33.0 -222.0 21.0 -222.0 27.0 -222.0 33.0 -228.0 21.0
PMPosition_SC_71 = -228.0 27.0 -228.0 33.0 -234.0 21.0 -234.0 27.0 -234.0 33.0 -240.0 21.0 -240.0 27.0 -240.0 33.0
PMPosition_SC_72 = -246.0 21.0 -246.0 27.0 -246.0 33.0 -252.0 21.0 -252.0 27.0 -252.0 33.0 -258.0 21.0 -258.0 27.0
PMPosition_SC_73 = -258.0 33.0 -264.0 21.0 -264.0 27.0 -264.0 33.0 -270.0 21.0 -270.0 27.0 -270.0 33.0 -276.0 21.0
PMPosition_SC_74 = -276.0 27.0 -276.0 33.0 -282.0 21.0 -282.0 27.0 -282.0 33.0 -288.0 21.0 -288.0 27.0 -288.0 33.0
PMPosition_SC_75 = -294.0 21.0 -294.0 27.0 -294.0 33.0 -300.0 21.0 -300.0 27.0 -300.0 33.0 -300.0 39.0 -300.0 45.0
PMPosition_SC_76 = -300.0 51.0 -294.0 39.0 -294.0 45.0 -294.0 51.0 -288.0 39.0 -288.0 45.0 -288.0 51.0 -282.0 39.0
PMPosition_SC_77 = -282.0 45.0 -282.0 51.0 -276.0 39.0 -276.0 45.0 -276.0 51.0 -270.0 39.0 -270.0 45.0 -270.0 51.0
PMPosition_SC_78 = -264.0 39.0 -264.0 45.0 -264.0 51.0 -258.0 39.0 -258.0 45.0 -258.0 51.0 -252.0 39.0 -252.0 45.0
PMPosition_SC_79 = -252.0 51.0 -246.0 39.0 -246.0 45.0 -246.0 51.0 -240.0 39.0 -240.0 45.0 -240.0 51.0 -234.0 39.0
PMPosition_SC_80 = -234.0 45.0 -234.0 51.0 -228.0 39.0 -228.0 45.0 -228.0 51.0 -222.0 39.0 -222.0 45.0 -222.0 51.0
PMPosition_SC_81 = -216.0 39.0 -216.0 45.0 -216.0 51.0 -210.0 39.0 -210.0 45.0 -210.0 51.0 -204.0 39.0 -204.0 45.0
PMPosition_SC_82 = -204.0 51.0 -198.0 39.0 -198.0 45.0 -198.0 51.0 -192.0 39.0 -192.0 45.0 -192.0 51.0 -186.0 39.0
PMPosition_SC_83 = -186.0 45.0 -186.0 51.0 -180.0 39.0 -180.0 45.0 -180.0 51.0 -174.0 39.0 -174.0 45.0 -174.0 51.0
PMPosition_SC_84 = -168.0 39.0 -168.0 45.0 -168.0 51.0 -162.0 39.0 -162.0 45.0 -162.0 51.0 -156.0 39.0 -156.0 45.0
PMPosition_SC_85 = -156.0 51.0 -150.0 39.0 -150.0 45.0 -150.0 51.0 -144.0 39.0 -144.0 45.0 -144.0 51.0 -138.0 39.0
PMPosition_SC_86 = -138.0 45.0 -138.0 51.0 -132.0 39.0 -132.0 45.0 -132.0 51.0 -126.0 39.0 -126.0 45.0 -126.0 51.0
PMPosition_SC_87 = -120.0 39.0 -120.0 45.0 -120.0 51.0 -114.0 39.0 -114.0 45.0 -114.0 51.0 -108.0 39.0 -108.0 45.0
PMPosition_SC_88 = -108.0 51.0 -102.0 39.0 -102.0 45.0 -102.0 51.0 -96.0 39.0 -96.0 45.0 -96.0 51.0 -90.0 39.0
PMPosition_SC_89 = -90.0 45.0 -90.0 51.0 -84.0 39.0 -84.0 45.0 -84.0 51.0 -78.0 39.0 -78.0 45.0 -78.0 51.0
PMPosition_SC_90 = -72.0 39.0 -72.0 45.0 -72.0 51.0 -66.0 39.0 -66.0 45.0 -66.0 51.0 -60.0 39.0 -60.0 45.0
PMPosition_SC_91 = -60.0 51.0 -54.0 39.0 -54.0 45.0 -54.0 51.0 -48.0 39.0 -48.0 45.0 -48.0 51.0 -42.0 39.0
PMPosition_SC_92 = -42.0 45.0 -42.0 51.0 -36.0 39.0 -36.0 45.0 -36.0 51.0 -30.0 39.0 -30.0 45.0 -30.0 51.0
PMPosition_SC_93 = -24.0 39.0 -24.0 45.0 -24.0 51.0 -18.0 39.0 -18.0 45.0 -18.0 51.0 -12.0 39.0 -12.0 45.0
PMPosition_SC_94 = -12.0 51.0 -6.0 39.0 -6.0 45.0 -6.0 51.0 0.0 39.0 0.0 45.0 0.0 51.0 6.0 39.0
PMPosition_SC_95 = 6.0 45.0 6.0 51.0 12.0 39.0 12.0 45.0 12.0 51.0 18.0 39.0 18.0 45.0 18.0 51.0
PMPosition_SC_96 = 24.0 39.0 24.0 45.0 24.0 51.0 30.0 39.0 30.0 45.0 30.0 51.0 36.0 39.0 36.0 45.0
PMPosition_SC_97 = 36.0 51.0 42.0 39.0 42.0 45.0 42.0 51.0 48.0 39.0 48.0 45.0 48.0 51.0 54.0 39.0
PMPosition_SC_98 = 54.0 45.0 54.0 51.0 60.0 39.0 60.0 45.0 60.0 51.0 66.0 39.0 66.0 45.0 66.0 51.0
PMPosition_SC_99 = 72.0 39.0 72.0 45.0 72.0 51.0 78.0 39.0 78.0 45.0 78.0 51.0 84.0 39.0 84.0 45.0
PMPosition_SC_100 = 84.0 51.0 90.0 39.0 90.0 45.0 90.0 51.0 96.0 39.0 96.0 45.0 96.0 51.0 102.0 39.0
PMPosition_SC_101 = 102.0 45.0 102.0 51.0 108.0 39.0 108.0 45.0 108.0 51.0 114.0 39.0 114.0 45.0 114.0 51.0
PMPosition_SC_102 = 120.0 39.0 120.0 45.0 120.0 51.0 126.0 39.0 126.0 45.0 126.0 51.0 132.0 39.0 132.0 45.0
PMPosition_SC_103 = 132.0 51.0 138.0 39.0 138.0 45.0 138.0 51.0 144.0 39.0 144.0 45.0 144.0 51.0 150.0 39.0
PMPosition_SC_104 = 150.0 45.0 150.0 51.0 156.0 39.0 156.0 45.0 156.0 51.0 162.0 39.0 162.0 45.0 162.0 51.0
PMPosition_SC_105 = 168.0 39.0 168.0 45.0 168.0 51.0 174.0 39.0 174.0 45.0 174.0 51.0 180.0 39.0 180.0 45.0
PMPosition_SC_106 = 180.0 51.0 186.0 39.0 186.0 45.0 186.0 51.0 192.0 39.0 192.0 45.0 192.0 51.0 198.0 39.0
PMPosition_SC_107 = 198.0 45.0 198.0 51.0 204.0 39.0 204.0 45.0 204.0 51.0 210.0 39.0 210.0 45.0 210.0 51.0
PMPosition_SC_108 = 216.0 39.0 216.0 45.0 216.0 51.0 222.0 39.0 222.0 45.0 222.0 51.0 228.0 39.0 228.0 45.0
PMPosition_SC_109 = 228.0 51.0 234.0 39.0 234.0 45.0 234.0 51.0 240.0 39.0 240.0 45.0 240.0 51.0 246.0 39.0
PMPosition_SC_110 = 246.0 45.0 246.0 51.0 252.0 39.0 252.0 45.0 252.0 51.0 258.0 39.0 258.0 45.0 258.0 51.0
PMPosition_SC_111 = 264.0 39.0 264.0 45.0 264.0 51.0 270.0 39.0 270.0 45.0 270.0 51.0 276.0 39.0 276.0 45.0
PMPosition_SC_112 = 276.0 51.0 282.0 39.0 282.0 45.0 282.0 51.0 288.0 39.0 288.0 45.0 288.0 51.0 294.0 39.0
PMPosition_SC_113 = 294.0 45.0 294.0 51.0 300.0 39.0 300.0 45.0 300.0 51.0 294.0 57.0 294.0 63.0 294.0 69.0
PMPosition_SC_114 = 288.0 57.0 288.0 63.0 288.0 69.0 282.0 57.0 282.0 63.0 282.0 69.0 276.0 57.0 276.0 63.0
PMPosition_SC_115 = 276.0 69.0 270.0 57.0 270.0 63.0 270.0 69.0 264.0 57.0 264.0 63.0 264.0 69.0 258.0 57.0
PMPosition_SC_116 = 258.0 63.0 258.0 69.0 252.0 57.0 252.0 63.0 252.0 69.0 246.0 57.0 246.0 63.0 246.0 69.0
PMPosition_SC_117 = 240.0 57.0 240.0 63.0 240.0 69.0 234.0 57.0 234.0 63.0 234.0 69.0 228.0 57.0 228.0 63.0
PMPosition_SC_118 = 228.0 69.0 222.0 57.0 222.0 63.0 222.0 69.0 216.0 57.0 216.0 63.0 216.0 69.0 210.0 57.0
PMPosition_SC_119 = 210.0 63.0 210.0 69.0 204.0 57.0 204.0 63.0 204.0 69.0 198.0 57.0 198.0 63.0 198.0 69.0
PMPosition_SC_120 = 192.0 57.0 192.0 63.0 192.0 69.0 186.0 57.0 186.0 63.0 186.0 69.0 180.0 57.0 180.0 63.0
PMPosition_SC_121 = 180.0 69.0 174.0 57.0 174.0 63.0 174.0 69.0 168.0 57.0 168.0 63.0 168.0 69.0 162.0 57.0
PMPosition_SC_122 = 162.0 63.0 162.0 69.0 156.0 57.0 156.0 63.0 156.0 69.0 150.0 57.0 150.0 63.0 150.0 69.0
PMPosition_SC_123 = 144.0 57.0 144.0 63.0 144.0 69.0 138.0 57.0 138.0 63.0 138.0 69.0 132.0 57.0 132.0 63.0
PMPosition_SC_124 = 132.0 69.0 126.0 57.0 126.0 63.0 126.0 69.0 120.0 57.0 120.0 63.0 120.0 69.0 114.0 57.0
PMPosition_SC_125 = 114.0 63.0 114.0 69.0 108.0 57.0 108.0 63.0 108.0 69.0 102.0 57.0 102.0 63.0 102.0 69.0
PMPosition_SC_126 = 96.0 57.0 96.0 63.0 96.0 69.0 90.0 57.0 90.0 63.0 90.0 69.0 84.0 57.0 84.0 63.0
PMPosition_SC_127 = 84.0 69.0 78.0 57.0 78.0 63.0 78.0 69.0 72.0 57.0 72.0 63.0 72.0 69.0 66.0 57.0
PMPosition_SC_128 = 66.0 63.0 66.0 69.0 60.0 57.0 60.0 63.0 60.0 69.0 54.0 57.0 54.0 63.0 54.0 69.0
PMPosition_SC_129 = 48.0 57.0 48.0 63.0 48.0 69.0 42.0 57.0 42.0 63.0 42.0 69.0 36.0 57.0 36.0 63.0
PMPosition_SC_130 = 36.0 69.0 30.0 57.0 30.0 63.0 30.0 69.0 24.0 57.0 24.0 63.0 24.0 69.0 18.0 57.0
