# Generated with run 8511, valid from the start of 2018 till run 8622.
# Stretching values of FE thresholds for channels with ROID 576-608
# found wrong and fixed from run 8623.
#---------------------------------------------------------------------
#SeqID 	 MinWidth 	 MaxWidth 	 SC_MinWidth 	 SC_MaxWidth
#---------------------------------------------------------------------
150 	 13.374 	 17.374 	 0.0411924 	 -0.297796
151 	 13.4733 	 17.4733 	 -0.0244529 	 -0.272556
152 	 13.0258 	 17.0258 	 0.266101 	 -0.336847
153 	 13.5631 	 17.5631 	 0.18988 	 -0.267945
154 	 13.3681 	 17.3681 	 0.20233 	 -0.275249
155 	 13.3522 	 17.3522 	 0.234491 	 -0.259322
156 	 13.0114 	 17.0114 	 0.233543 	 -0.31942
157 	 13.1612 	 17.1612 	 0.154945 	 -0.261328
158 	 13.0382 	 17.0382 	 0.213902 	 -0.282161
159 	 13.3977 	 17.3977 	 0.228821 	 -0.294126
160 	 12.2801 	 16.2801 	 0.030243 	 -0.578951
161 	 12.6599 	 16.6599 	 0.109133 	 -0.589143
162 	 12.6032 	 16.6032 	 0.0668179 	 -0.543161
163 	 12.8193 	 16.8193 	 0.0433464 	 -0.481203
164 	 13.2429 	 17.2429 	 0.0153367 	 -0.411282
165 	 13.0021 	 17.0021 	 -0.035299 	 -0.44367
166 	 12.4411 	 16.4411 	 0.0913525 	 -0.611315
167 	 13.0579 	 17.0579 	 0.051545 	 -0.518009
168 	 13.0985 	 17.0985 	 0.10678 	 -0.171435
169 	 12.861 	 16.861 	 0.171528 	 -0.297062
170 	 12.8365 	 16.8365 	 0.205739 	 -0.316374
171 	 13.35 	 17.35 	 0.104091 	 -0.229922
172 	 13.4048 	 17.4048 	 0.160402 	 -0.207656
173 	 12.9566 	 16.9566 	 0.141359 	 -0.220148
174 	 12.984 	 16.984 	 0.217597 	 -0.28195
175 	 13.3057 	 17.3057 	 0.16561 	 -0.25169
176 	 13.8655 	 17.8655 	 0.260232 	 -0.339486
177 	 13.81 	 17.81 	 0.198785 	 -0.30424
178 	 13.8353 	 17.8353 	 0.204535 	 -0.33003
179 	 14.2579 	 18.2579 	 0.19877 	 -0.299118
180 	 13.9757 	 17.9757 	 0.177133 	 -0.28023
181 	 13.9596 	 17.9596 	 0.20136 	 -0.275027
182 	 14.2674 	 18.2674 	 0.216419 	 -0.314099
183 	 14.0151 	 18.0151 	 0.215752 	 -0.299511
184 	 14.0785 	 18.0785 	 0.19082 	 -0.329195
185 	 13.7263 	 17.7263 	 0.208001 	 -0.317337
186 	 13.844 	 17.844 	 0.240936 	 -0.352883
187 	 13.4768 	 17.4768 	 0.202859 	 -0.345993
188 	 13.7727 	 17.7727 	 0.210258 	 -0.340104
189 	 13.5082 	 17.5082 	 0.231327 	 -0.373611
190 	 13.533 	 17.533 	 0.230118 	 -0.370061
191 	 13.5081 	 17.5081 	 0.233753 	 -0.356422
192 	 13.7271 	 17.7271 	 0.235404 	 -0.475148
193 	 13.5938 	 17.5938 	 0.187006 	 -0.384254
194 	 13.4649 	 17.4649 	 0.237554 	 -0.438747
195 	 13.2018 	 17.2018 	 0.229417 	 -0.367584
196 	 13.5865 	 17.5865 	 0.129256 	 -0.320036
197 	 13.3419 	 17.3419 	 0.236297 	 -0.467133
198 	 13.527 	 17.527 	 0.160065 	 -0.419874
199 	 13.3582 	 17.3582 	 0.176613 	 -0.382071
200 	 13.7636 	 17.7636 	 0.0606551 	 -0.292866
201 	 14.5575 	 18.5575 	 0.111852 	 -0.32159
202 	 14.2536 	 18.2536 	 0.177191 	 -0.33966
203 	 13.9 	 17.9 	 0.00424885 	 -0.227834
204 	 13.9181 	 17.9181 	 0.217685 	 -0.371082
205 	 13.5978 	 17.5978 	 0.211957 	 -0.361559
206 	 13.8837 	 17.8837 	 0.159594 	 -0.332218
207 	 14.522 	 18.522 	 0.123466 	 -0.272533
208 	 11.7331 	 15.7331 	 0.258704 	 -0.443033
209 	 12.7404 	 16.7404 	 0.207153 	 -0.328074
210 	 12.7625 	 16.7625 	 0.196796 	 -0.289041
211 	 11.9518 	 15.9518 	 0.25918 	 -0.353619
