######################## RICH Reconstruction SCs indexed positions ########################
#SCPosition: NPMs (starting from 0, grouped by 2, x y couples)
SCPosition_SC_134 = -39.0 31.5 -45.0 31.5
SCPosition_SC_135 = -54.0 31.5 -63.0 31.5
SCPosition_SC_136 = -69.0 31.5 -78.0 31.5
SCPosition_SC_137 = -87.0 31.5 -93.0 31.5
SCPosition_SC_138 = -102.0 31.5 -111.0 31.5
SCPosition_SC_139 = -117.0 31.5 -126.0 31.5
SCPosition_SC_140 = -135.0 31.5 -141.0 31.5
SCPosition_SC_141 = -150.0 31.5 -159.0 31.5
SCPosition_SC_142 = -165.0 31.5 -174.0 31.5
SCPosition_SC_143 = -183.0 31.5 -189.0 31.5
SCPosition_SC_144 = -198.0 31.5 -207.0 31.5
SCPosition_SC_145 = -213.0 31.5 -222.0 31.5
SCPosition_SC_146 = -231.0 31.5 -237.0 31.5
SCPosition_SC_147 = -246.0 31.5 -255.0 31.5
SCPosition_SC_148 = -261.0 31.5 -270.0 31.5
SCPosition_SC_149 = -279.0 31.5 -285.0 31.5
SCPosition_SC_150 = -294.0 31.5 -300.0 40.5
SCPosition_SC_151 = -294.0 40.5 -285.0 40.5
SCPosition_SC_152 = -276.0 40.5 -270.0 40.5
SCPosition_SC_153 = -261.0 40.5 -252.0 40.5
SCPosition_SC_154 = -246.0 40.5 -237.0 40.5
SCPosition_SC_155 = -228.0 40.5 -222.0 40.5
SCPosition_SC_156 = -213.0 40.5 -204.0 40.5
SCPosition_SC_157 = -198.0 40.5 -189.0 40.5
SCPosition_SC_158 = -180.0 40.5 -174.0 40.5
SCPosition_SC_159 = -165.0 40.5 -156.0 40.5
SCPosition_SC_160 = -150.0 40.5 -141.0 40.5
SCPosition_SC_161 = -132.0 40.5 -126.0 40.5
SCPosition_SC_162 = -117.0 40.5 -108.0 40.5
SCPosition_SC_163 = -102.0 40.5 -93.0 40.5
SCPosition_SC_164 = -84.0 40.5 -78.0 40.5
SCPosition_SC_165 = -69.0 40.5 -60.0 40.5
SCPosition_SC_166 = -54.0 40.5 -45.0 40.5
SCPosition_SC_167 = -36.0 40.5 -30.0 40.5
SCPosition_SC_168 = -21.0 40.5 -12.0 40.5
SCPosition_SC_169 = -6.0 40.5 3.0 40.5
SCPosition_SC_170 = 12.0 40.5 18.0 40.5
SCPosition_SC_171 = 27.0 40.5 36.0 40.5
SCPosition_SC_172 = 42.0 40.5 51.0 40.5
SCPosition_SC_173 = 60.0 40.5 66.0 40.5
SCPosition_SC_174 = 75.0 40.5 84.0 40.5
SCPosition_SC_175 = 90.0 40.5 99.0 40.5
SCPosition_SC_176 = 108.0 40.5 114.0 40.5
SCPosition_SC_177 = 123.0 40.5 132.0 40.5
SCPosition_SC_178 = 138.0 40.5 147.0 40.5
SCPosition_SC_179 = 156.0 40.5 162.0 40.5
SCPosition_SC_180 = 171.0 40.5 180.0 40.5
SCPosition_SC_181 = 186.0 40.5 195.0 40.5
SCPosition_SC_182 = 204.0 40.5 210.0 40.5
SCPosition_SC_183 = 219.0 40.5 228.0 40.5
SCPosition_SC_184 = 234.0 40.5 243.0 40.5
SCPosition_SC_185 = 252.0 40.5 258.0 40.5
SCPosition_SC_186 = 267.0 40.5 276.0 40.5
SCPosition_SC_187 = 282.0 40.5 291.0 40.5
SCPosition_SC_188 = 297.0 49.5 291.0 49.5
SCPosition_SC_189 = 282.0 49.5 273.0 49.5
SCPosition_SC_190 = 267.0 49.5 258.0 49.5
SCPosition_SC_191 = 249.0 49.5 243.0 49.5
SCPosition_SC_192 = 234.0 49.5 225.0 49.5
SCPosition_SC_193 = 219.0 49.5 210.0 49.5
SCPosition_SC_194 = 201.0 49.5 195.0 49.5
SCPosition_SC_195 = 186.0 49.5 177.0 49.5
SCPosition_SC_196 = 171.0 49.5 162.0 49.5
SCPosition_SC_197 = 153.0 49.5 147.0 49.5
SCPosition_SC_198 = 138.0 49.5 129.0 49.5
SCPosition_SC_199 = 123.0 49.5 114.0 49.5
SCPosition_SC_200 = 105.0 49.5 99.0 49.5
SCPosition_SC_201 = 90.0 49.5 81.0 49.5
SCPosition_SC_202 = 75.0 49.5 66.0 49.5
SCPosition_SC_203 = 57.0 49.5 51.0 49.5
SCPosition_SC_204 = 42.0 49.5 33.0 49.5
SCPosition_SC_205 = 27.0 49.5 18.0 49.5
SCPosition_SC_206 = 9.0 49.5 3.0 49.5
SCPosition_SC_207 = -6.0 49.5 -15.0 49.5
SCPosition_SC_208 = -21.0 49.5 -30.0 49.5
SCPosition_SC_209 = -39.0 49.5 -45.0 49.5
