# Slewing corrections obtained with run 1520 (minimum bias)
#---------------------------------------------------------------------
#SeqID 	 MinWidth 	 MaxWidth 	 SC_MinWidth 	 SC_MaxWidth
#---------------------------------------------------------------------
165 	 16.5848 	 23.5848 	 1.17069 	 1.0032
166 	 16.1223 	 23.1223 	 1.50494 	 0.586078
167 	 16.1616 	 23.1616 	 1.41254 	 0.677183
168 	 15.8105 	 22.8105 	 -0.385563 	 -0.715081
169 	 15.4862 	 22.4862 	 -0.359553 	 -0.744066
170 	 15.1859 	 22.1859 	 -0.245441 	 -0.793084
171 	 16.025 	 23.025 	 -0.466101 	 -0.649453
172 	 15.7255 	 22.7255 	 -0.423196 	 -0.725782
173 	 15.481 	 22.481 	 -0.0980916 	 -0.61838
174 	 15.5899 	 22.5899 	 -0.291405 	 -0.696814
175 	 15.7877 	 22.7877 	 -0.233348 	 -0.750061
176 	 17.4971 	 24.4971 	 0.51854 	 -0.852428
177 	 16.7997 	 23.7997 	 0.186627 	 -0.665945
178 	 16.7591 	 23.7591 	 0.301389 	 -0.250203
179 	 17.4227 	 24.4227 	 0.325839 	 -0.847492
180 	 16.9196 	 23.9196 	 0.436233 	 -0.506935
181 	 17.1245 	 24.1245 	 0.34878 	 -0.403957
182 	 17.2717 	 24.2717 	 0.399399 	 -0.518002
183 	 16.7769 	 23.7769 	 0.168188 	 -0.378888
184 	 17.2502 	 24.2502 	 1.06223 	 0.0842011
185 	 16.4684 	 23.4684 	 1.12682 	 0.378683
186 	 16.4839 	 23.4839 	 1.22807 	 0.557559
187 	 16.4647 	 23.4647 	 1.03765 	 0.462288
188 	 16.4182 	 23.4182 	 0.925372 	 0.282254
189 	 16.3563 	 23.3563 	 1.08892 	 0.271149
190 	 16.2462 	 23.2462 	 0.869677 	 0.183064
191 	 16.1145 	 23.1145 	 1.20045 	 0.321963
192 	 16.3927 	 23.3927 	 0.642183 	 0.704776
193 	 15.9231 	 22.9231 	 0.543302 	 0.231076
194 	 15.819 	 22.819 	 0.666757 	 0.159792
195 	 15.7255 	 22.7255 	 0.756856 	 0.315584
196 	 15.815 	 22.815 	 1.10241 	 1.1606
197 	 15.7631 	 22.7631 	 0.441018 	 0.58462
198 	 15.8302 	 22.8302 	 0.69922 	 -0.275018
199 	 15.5757 	 22.5757 	 0.936267 	 1.16162
200 	 16.8128 	 23.8128 	 0.570381 	 0.0360906
201 	 16.4 	 23.4 	 0.128637 	 -0.318065
202 	 16.5546 	 23.5546 	 0.143241 	 -0.316739
203 	 16.6748 	 23.6748 	 0.304744 	 -0.212413
204 	 16.394 	 23.394 	 0.137113 	 -0.298132
205 	 16.4903 	 23.4903 	 0.312696 	 -0.344732
206 	 16.2205 	 23.2205 	 0.0984988 	 -0.395553
207 	 16.421 	 23.421 	 0.27456 	 0.0585238
208 	 14.3789 	 21.3789 	 0.524645 	 -0.294384
209 	 14.7148 	 21.7148 	 0.248368 	 -0.472927
210 	 14.8172 	 21.8172 	 0.208497 	 -0.44553
211 	 14.3171 	 21.3171 	 0.416243 	 -0.365547
212 	 14.6608 	 21.6608 	 0.151444 	 -0.401137
213 	 14.4412 	 21.4412 	 0.532368 	 -0.220459
214 	 14.9009 	 21.9009 	 0.33227 	 -0.352871
215 	 14.7142 	 21.7142 	 0.263884 	 -0.512222
216 	 15.8048 	 22.8048 	 1.19888 	 0.180983
217 	 15.4412 	 22.4412 	 0.909399 	 0.319675
218 	 15.7306 	 22.7306 	 1.23798 	 0.675515
219 	 15.8458 	 22.8458 	 1.12197 	 0.435546
220 	 15.6004 	 22.6004 	 1.3257 	 0.40023
221 	 15.6834 	 22.6834 	 1.01463 	 0.442935
222 	 15.2724 	 22.2724 	 1.02823 	 0.203262
223 	 15.7919 	 22.7919 	 1.35171 	 0.420578
224 	 14.7185 	 21.7185 	 0.799608 	 0.0339705
225 	 14.4621 	 21.4621 	 0.793153 	 0.170695
226 	 14.7495 	 21.7495 	 0.717218 	 0.0721152
227 	 14.8769 	 21.8769 	 0.790723 	 -0.0108394
228 	 14.4947 	 21.4947 	 0.730462 	 0.0984607
229 	 14.919 	 21.919 	 0.51556 	 -0.225908
230 	 14.7001 	 21.7001 	 0.484262 	 -0.375813
231 	 14.5053 	 21.5053 	 0.872642 	 0.265785
232 	 15.4127 	 22.4127 	 0.203498 	 -0.274407
233 	 15.3426 	 22.3426 	 -0.135773 	 -0.656528
234 	 15.1277 	 22.1277 	 -0.00711179 	 -0.520556
235 	 15.3881 	 22.3881 	 0.00318998 	 -0.45833
236 	 15.2643 	 22.2643 	 -0.0428374 	 -0.566043
237 	 15.3997 	 22.3997 	 -0.0323099 	 -0.590232
238 	 15.2057 	 22.2057 	 -0.00802405 	 -0.656279
239 	 15.4948 	 22.4948 	 0.369478 	 -0.298704
240 	 17.3253 	 24.3253 	 0.811803 	 0.219477
241 	 17.2791 	 24.2791 	 1.13543 	 0.050637
242 	 17.261 	 24.261 	 1.0257 	 0.0373294
243 	 17.5082 	 24.5082 	 1.16641 	 -0.192165
244 	 17.3119 	 24.3119 	 1.24555 	 0.16049
245 	 17.5484 	 24.5484 	 1.04393 	 -0.123062
246 	 17.8491 	 24.8491 	 0.825295 	 -0.0304021
247 	 17.2149 	 24.2149 	 1.28976 	 0.152491
248 	 15.8103 	 22.8103 	 1.61484 	 0.632087
249 	 15.4028 	 22.4028 	 1.27576 	 0.802525
250 	 15.4182 	 22.4182 	 1.27736 	 0.612005
251 	 16.0267 	 23.0267 	 1.11856 	 0.646685
252 	 15.53 	 22.53 	 1.10881 	 0.666822
253 	 15.6251 	 22.6251 	 1.48698 	 0.785022
254 	 15.8165 	 22.8165 	 1.44548 	 0.635009
255 	 15.2933 	 22.2933 	 1.18509 	 0.360318
256 	 17.1534 	 24.1534 	 -0.226411 	 -0.630467
257 	 16.4248 	 23.4248 	 -0.40242 	 -0.571545
258 	 16.2279 	 23.2279 	 -0.239829 	 -1.03986
259 	 16.8569 	 23.8569 	 -0.17669 	 -0.494745
260 	 16.7169 	 23.7169 	 -0.272227 	 -0.766623
261 	 16.6302 	 23.6302 	 -0.280442 	 -0.598853
262 	 16.242 	 23.242 	 -0.427101 	 -0.736653
263 	 16.6559 	 23.6559 	 -0.393704 	 -0.642867
264 	 16.3928 	 23.3928 	 0.66245 	 -0.0237959
265 	 15.3648 	 22.3648 	 0.395638 	 -0.31897
266 	 15.556 	 22.556 	 0.329089 	 -0.316158
267 	 15.8092 	 22.8092 	 0.408687 	 -0.24922
268 	 15.6599 	 22.6599 	 0.265439 	 -0.361753
269 	 15.6242 	 22.6242 	 0.407315 	 -0.0509105
270 	 15.6607 	 22.6607 	 0.251712 	 -0.301395
271 	 15.4717 	 22.4717 	 0.40214 	 -0.138771
272 	 16.1311 	 23.1311 	 1.35386 	 0.459943
273 	 15.7932 	 22.7932 	 0.992589 	 0.102357
274 	 15.8199 	 22.8199 	 1.06574 	 0.19396
275 	 16.4533 	 23.4533 	 1.08471 	 0.203539
276 	 16.0092 	 23.0092 	 0.970944 	 0.372438
