# Generated with run 8636, valid from run 8623.
# Stretching values of FE thresholds for channels with ROID 576-608
# put back to correct values from run 8623
#---------------------------------------------------------------------
#SeqID 	 MinWidth 	 MaxWidth 	 SC_MinWidth 	 SC_MaxWidth
#---------------------------------------------------------------------
144 	 13.4157 	 17.4157 	 0.102838 	 -0.411812
145 	 13.3803 	 17.3803 	 0.09932 	 -0.288229
146 	 13.1522 	 17.1522 	 0.0796052 	 -0.430106
147 	 13.343 	 17.343 	 0.0436125 	 -0.285489
148 	 12.9631 	 16.9631 	 0.126553 	 -0.390983
149 	 13.0141 	 17.0141 	 0.0973839 	 -0.354502
150 	 13.397 	 17.397 	 0.105406 	 -0.253688
151 	 13.4954 	 17.4954 	 0.00392149 	 -0.230518
152 	 13.0494 	 17.0494 	 0.304465 	 -0.294485
153 	 13.576 	 17.576 	 0.207042 	 -0.234562
154 	 13.3793 	 17.3793 	 0.218514 	 -0.25995
155 	 13.3791 	 17.3791 	 0.233322 	 -0.211636
156 	 13.028 	 17.028 	 0.258385 	 -0.275489
157 	 13.1851 	 17.1851 	 0.229951 	 -0.261723
158 	 13.0512 	 17.0512 	 0.308257 	 -0.293843
159 	 13.414 	 17.414 	 0.233419 	 -0.239197
160 	 12.2958 	 16.2958 	 0.0538405 	 -0.558495
161 	 12.6714 	 16.6714 	 0.155152 	 -0.586664
162 	 12.6121 	 16.6121 	 0.108948 	 -0.51887
163 	 12.8379 	 16.8379 	 0.0670595 	 -0.431434
164 	 13.2476 	 17.2476 	 0.104188 	 -0.415342
165 	 13.0166 	 17.0166 	 0.0773607 	 -0.476866
166 	 12.459 	 16.459 	 0.113473 	 -0.576094
167 	 13.0738 	 17.0738 	 0.134776 	 -0.521392
168 	 13.1209 	 17.1209 	 0.117453 	 -0.131365
169 	 12.8811 	 16.8811 	 0.128893 	 -0.231138
170 	 12.8536 	 16.8536 	 0.279332 	 -0.312884
171 	 13.3722 	 17.3722 	 0.163796 	 -0.214675
172 	 13.4146 	 17.4146 	 0.192698 	 -0.173449
173 	 12.9688 	 16.9688 	 0.176812 	 -0.219946
174 	 12.9969 	 16.9969 	 0.227517 	 -0.236772
175 	 13.3179 	 17.3179 	 0.220943 	 -0.231799
176 	 13.8857 	 17.8857 	 0.290974 	 -0.337249
177 	 13.8364 	 17.8364 	 0.243984 	 -0.258382
178 	 13.8606 	 17.8606 	 0.245025 	 -0.313583
179 	 14.2846 	 18.2846 	 0.252551 	 -0.291442
180 	 13.9952 	 17.9952 	 0.265944 	 -0.29117
181 	 13.9887 	 17.9887 	 0.225249 	 -0.243541
182 	 14.2917 	 18.2917 	 0.268518 	 -0.314522
183 	 14.0386 	 18.0386 	 0.248504 	 -0.28357
184 	 14.1022 	 18.1022 	 0.206039 	 -0.291798
185 	 13.7484 	 17.7484 	 0.25523 	 -0.308047
186 	 13.8587 	 17.8587 	 0.276732 	 -0.343913
187 	 13.5053 	 17.5053 	 0.226951 	 -0.309568
188 	 13.7996 	 17.7996 	 0.239447 	 -0.337819
189 	 13.5294 	 17.5294 	 0.242556 	 -0.332254
190 	 13.5526 	 17.5526 	 0.231645 	 -0.31996
191 	 13.5235 	 17.5235 	 0.254764 	 -0.338123
192 	 13.7754 	 17.7754 	 0.134897 	 -0.37308
193 	 13.65 	 17.65 	 0.220574 	 -0.379855
194 	 13.527 	 17.527 	 0.232078 	 -0.375201
195 	 13.2443 	 17.2443 	 0.0667469 	 -0.30583
196 	 13.6258 	 17.6258 	 0.0750759 	 -0.291009
197 	 13.3557 	 17.3557 	 0.168895 	 -0.402625
198 	 13.5843 	 17.5843 	 0.105021 	 -0.348935
199 	 13.3976 	 17.3976 	 0.156314 	 -0.309455
200 	 13.7761 	 17.7761 	 0.240577 	 -0.341896
201 	 14.5566 	 18.5566 	 0.229592 	 -0.335892
202 	 14.2658 	 18.2658 	 0.268446 	 -0.311787
203 	 13.9167 	 17.9167 	 0.226492 	 -0.300469
204 	 13.9318 	 17.9318 	 0.252295 	 -0.366503
205 	 13.6195 	 17.6195 	 0.206428 	 -0.295806
206 	 13.8853 	 17.8853 	 0.299155 	 -0.403814
207 	 14.5134 	 18.5134 	 0.143954 	 -0.272229
208 	 11.7782 	 15.7782 	 0.229767 	 -0.349704
209 	 12.7718 	 16.7718 	 0.243951 	 -0.279124
210 	 12.7978 	 16.7978 	 0.231776 	 -0.278732
211 	 11.983 	 15.983 	 0.306429 	 -0.378611
212 	 12.6642 	 16.6642 	 0.170751 	 -0.245945
213 	 12.18 	 16.18 	 0.274519 	 -0.363196
214 	 12.9045 	 16.9045 	 0.198585 	 -0.277279
215 	 12.6989 	 16.6989 	 0.298797 	 -0.315211
216 	 13.3233 	 17.3233 	 0.207937 	 -0.279528
217 	 13.4534 	 17.4534 	 0.184583 	 -0.242358
218 	 13.7438 	 17.7438 	 0.247297 	 -0.288317
219 	 13.5451 	 17.5451 	 0.264411 	 -0.301532
220 	 13.5214 	 17.5214 	 0.252454 	 -0.290691
221 	 13.3993 	 17.3993 	 0.227164 	 -0.273381
222 	 13.0304 	 17.0304 	 0.233583 	 -0.300112
223 	 13.7571 	 17.7571 	 0.233185 	 -0.295658
224 	 12.7709 	 16.7709 	 0.2003 	 -0.256211
225 	 12.7924 	 16.7924 	 0.242254 	 -0.297272
226 	 13.1048 	 17.1048 	 0.251927 	 -0.317101
227 	 13.0096 	 17.0096 	 0.184983 	 -0.202065
228 	 13.0035 	 17.0035 	 0.272109 	 -0.272892
229 	 13.2427 	 17.2427 	 0.174864 	 -0.253733
230 	 12.9836 	 16.9836 	 0.216425 	 -0.232551
231 	 12.8956 	 16.8956 	 0.204289 	 -0.237243
232 	 12.9814 	 16.9814 	 0.256495 	 -0.218104
233 	 13.2724 	 17.2724 	 0.196481 	 -0.226743
234 	 13.1209 	 17.1209 	 0.200682 	 -0.225564
235 	 12.9916 	 16.9916 	 0.236082 	 -0.248803
236 	 13.1985 	 17.1985 	 0.23452 	 -0.26467
237 	 13.111 	 17.111 	 0.181283 	 -0.189321
238 	 13.0796 	 17.0796 	 0.189425 	 -0.229998
239 	 13.4681 	 17.4681 	 0.243967 	 -0.253749
240 	 13.6076 	 17.6076 	 0.260685 	 -0.284402
241 	 14.129 	 18.129 	 0.256367 	 -0.270142
242 	 14.1498 	 18.1498 	 0.283324 	 -0.316151
243 	 13.9154 	 17.9154 	 0.221898 	 -0.270633
244 	 14.2234 	 18.2234 	 0.280514 	 -0.275917
245 	 14.2003 	 18.2003 	 0.230463 	 -0.257726
246 	 14.5944 	 18.5944 	 0.188955 	 -0.206197
247 	 14.1163 	 18.1163 	 0.24964 	 -0.265321
248 	 13.634 	 17.634 	 0.287781 	 -0.323177
249 	 13.5574 	 17.5574 	 0.217404 	 -0.245303
250 	 13.3923 	 17.3923 	 0.225651 	 -0.313863
251 	 13.8381 	 17.8381 	 0.245964 	 -0.27974
